gps_num,gps_fix,gps_alt,app,SiteName,SiteAddr,s_d0,s_d1,s_h0,area,gps_lat,s_t0,gps_lon,date,device_id,name,time,s_d2,timestamp,c_d0,c_d0_method,hcho,odm,adf_status,fw_ver,s_g1,model
9,1,2,AirBox,08BEAC0AB74C,N/A,10,11,63,taichuang,24.0680113,27.37,120.7147175,2020-09-25,08BEAC0AB74C,朝陽科技大學教學大樓T1-802,01:21:24,8,2020-09-25T01:21:24Z,10,SVR/30/11.97,,,,,,
9,1,2,AirBox,08BEAC0AB74E,N/A,8,8,62,taichuang,24.307932,24.75,120.721262,2020-09-25,08BEAC0AB74E,台中市后里區后里里環保志工小隊,01:19:43,5,2020-09-25T01:19:43Z,8,SVR/30/9.18,,,,,,
9,1,2,AirBox,08BEAC0AB750,N/A,9,10,60,taichuang,24.1538088,26.37,120.5412178,2020-09-25,08BEAC0AB750,臺中市立圖書館大肚分館,01:18:41,7,2020-09-25T01:18:41Z,9,SVR/30/9.76,,,,,,
9,1,2,AirBox,08BEAC0AB756,N/A,7,8,60,taichuang,24.1322762,28.25,120.6765521,2020-09-25,08BEAC0AB756,南區長榮里環保志工隊,01:21:31,6,2020-09-25T01:21:31Z,7,SVR/30/4.22,,,,,,
9,1,2,AirBox,08BEAC0AB75A,N/A,9,10,54,taichuang,24.0984485,29,120.7002348,2020-09-25,08BEAC0AB75A,大里區仁化環保志工小隊,01:14:40,6,2020-09-25T01:14:40Z,9,SVR/30/8.46,,,,,,
9,1,2,AirBox,08BEAC0AB75C,N/A,10,11,57,taichuang,24.0703536,29.75,120.7157925,2020-09-25,08BEAC0AB75C,朝陽科技大學公車站,01:20:25,7,2020-09-25T01:20:25Z,10,SVR/30/11.83,,,,,,
9,1,2,AirBox,08BEAC0AB75E,N/A,15,15,60,taichuang,24.1134977,28,120.6857514,2020-09-25,08BEAC0AB75E,大里區西榮環保志工小隊,01:18:35,12,2020-09-25T01:18:35Z,10.57,SVR/30/6.24,,,,,,
9,1,2,AirBox,08BEAC0AB760,N/A,11,13,66,taichuang,24.309814,24.37,120.70566,2020-09-25,08BEAC0AB760,台中市后里區墩北里環保志工小隊,01:18:28,7,2020-09-25T01:18:28Z,11,SVR/30/9.77,,,,,,
9,1,2,AirBox,08BEAC0AB764,N/A,5,5,60,taichuang,24.1295326,26.87,120.6895761,2020-09-25,08BEAC0AB764,臺中市立圖書館東區分館,01:21:42,3,2020-09-25T01:21:42Z,5,SVR/30/5.53,,,,,,
9,1,2,AirBox,08BEAC0AB766,N/A,10,10,61,taichuang,24.321036,26.5,120.701716,2020-09-25,08BEAC0AB766,台中市后里區月眉里環保志工小隊,01:18:55,7,2020-09-25T01:18:55Z,10,SVR/30/9.01,,,,,,
9,1,2,AirBox,08BEAC0AB76A,N/A,7,8,64,taichuang,24.257736,26.12,120.668217,2020-09-25,08BEAC0AB76A,台中市神岡區北庄里環保志工小隊,01:21:20,5,2020-09-25T01:21:20Z,7,SVR/30/12.08,,,,,,
9,1,2,AirBox,08BEAC0AB770,N/A,5,5,61,taichuang,24.1166637,27.37,120.6597859,2020-09-25,08BEAC0AB770,南區工學里環保志工隊,01:18:03,4,2020-09-25T01:18:03Z,5,SVR/30/4.37,,,,,,
9,1,2,AirBox,08BEAC0AB772,N/A,5,5,57,taichuang,24.12639096,28.75,120.6671337,2020-09-25,08BEAC0AB772,南區福興里環保志工隊,01:21:00,3,2020-09-25T01:21:00Z,5,SVR/30/3.89,,,,,,
9,1,2,AirBox,08BEAC0AB774,N/A,11,13,69,taichuang,24.0682151,26.37,120.7144423,2020-09-25,08BEAC0AB774,朝陽科技大學教學大樓T1-207,01:17:13,7,2020-09-25T01:17:13Z,11,SVR/30/11.93,,,,,,
9,1,2,AirBox,08BEAC0AB776,N/A,5,6,57,taichuang,24.1259664,28,120.6709778,2020-09-25,08BEAC0AB776,南區江川里環保志工隊,01:20:27,3,2020-09-25T01:20:27Z,5,SVR/30/4.2,,,,,,
9,1,2,AirBox,08BEAC0AB77A,N/A,6,6,58,taichuang,24.182201,28.36,120.664451,2020-09-25,08BEAC0AB77A,北屯區新平里環保志工小隊,01:16:54,4,2020-09-25T01:16:54Z,6,SVR/30/4.12,,,,,,
