hcho,gps_num,app,gps_alt,s_d2,odm,s_d0,s_d1,s_h0,SiteName,gps_fix,s_gg,gps_lat,s_t0,timestamp,adf_status,gps_lon,SiteAddr,date,device_id,s_g8,c_d0,fw_ver,s_g1,time,model,c_d0_method,name,area
,9,AirBox,2,2,,3,3,100,新北市秀朗國小,1,,24.998,23.5,2020-05-23T02:14:12Z,,121.521,N/A,2020-05-23,74DA38F7C368,,3.48,,,02:14:12,,BRR/14/5.55,秀朗國小,new_taipei
,9,AirBox,2,10,,13,14,92,74DA38EBF656,1,,24.35,26.75,2020-05-23T02:12:53Z,,120.619,N/A,2020-05-23,74DA38EBF656,,4.96,,,02:12:53,,LR/14/14.63,myPM2.5_56,taichuang
,9,AirBox,2,0,,0,0,100,市立東湖國中,1,,25.072,22.62,2020-05-23T02:13:03Z,,121.619,臺北市內湖區樂康里康樂街131號,2020-05-23,74DA38F7C5BA,,3.43,,,02:13:03,,LR/14/2.41,台北市內湖區東湖國中2018,taipei
0,9,AirBox,2,19,acelink.edimax,36,44,100,雲林縣縣立東勢國小,1,0,23.67411553,28.7,2020-05-23T02:17:29Z,0,120.2570503,雲林縣東勢鄉東南村東榮路廿九巷九號,2020-05-23,08BEAC0A02F6,0,20.55,v1.06,0,02:17:29,AI-1003WN,LR/14/23.04,,
0,9,AirBox,2,9,acelink.edimax,14,15,100,臺中市立大忠國小,1,0,24.13430025,28.1,2020-05-23T02:16:43Z,0,120.55636,臺中市大肚區社腳里沙田路一段八五四巷二四號,2020-05-23,08BEAC0A02F4,0,6.58,v1.06,0,02:16:43,AI-1003WN,LR/30/7.74,,
0,9,AirBox,2,5,acelink.edimax,8,9,100,臺中市立追分國小,1,0,24.12223999,28.2,2020-05-23T02:17:28Z,0,120.568245,臺中市大肚區福山村沙田路一段364號,2020-05-23,08BEAC0A02F2,0,0,v1.06,0,02:17:28,AI-1003WN,LR/30/6.82,,
0,9,AirBox,2,25,acelink.edimax,47,62,94,雲林縣縣立雲林國小,1,0,23.70283896,27.2,2020-05-23T02:18:46Z,0,120.5483153,雲林縣斗六市莊敬路一一一號,2020-05-23,08BEAC0A02F0,0,80.45,v1.06,0,02:18:46,AI-1003WN,Theil-Sen/21/1.06,,
0,9,AirBox,2,6,acelink.edimax,9,10,100,嘉義縣縣立永安國小,1,0,23.37129694,27.2,2020-05-23T02:19:27Z,0,120.1820403,嘉義縣布袋鎮永安里126之2號,2020-05-23,08BEAC0A0108,0,6.16,v1.06,0,02:19:27,AI-1003WN,LR/14/12.59,,
0,9,AirBox,2,8,acelink.edimax,11,12,90,臺中市立甲南國小,1,0,24.30474724,28,2020-05-23T02:19:00Z,0,120.5955373,臺中市清水區臨海路26號,2020-05-23,08BEAC0A0104,0,9.05,v1.06,0,02:19:00,AI-1003WN,Theil-Sen/14/15.75,,
0,9,AirBox,2,5,acelink.edimax,9,9,89,桃園市市立八德國小,1,0,24.928085,25.8,2020-05-23T02:19:14Z,0,121.2831983,桃園市八德區興豐路222號,2020-05-23,08BEAC0A02F8,0,6.07,v1.06,0,02:19:14,AI-1003WN,BRR/30/7.78,,
